,Sun x,Sun y,Sun z,Magnetometer x,Magnetometer y,Magnetometer z,Earth x,Earth y,Earth z,Angular momentum of wheels x,Angular momentum of wheels y,Angular momentum of wheels z,Sun in view,Current fault
1232,0.0,0.0,0.0,1.207269544558467e-06,-2.7085059085757495e-07,3.669102415864566e-07,-6770035.923188012,-891632.6750538385,911437.201312073,2.0537103170595472e-06,7.406626279259848e-07,-1.644520897094668e-06,False,None
1233,0.0,0.0,0.0,1.2758475327685153e-06,-2.940280979166819e-07,3.855957987161024e-07,-6767408.574405405,-881903.6361283672,897406.4729540261,2.0560791889757866e-06,7.418649775989796e-07,-1.6476071377081058e-06,False,None
1234,0.0,0.0,0.0,1.369444844976799e-06,-3.153042162202511e-07,4.159661582687337e-07,-6759372.273784287,-884408.7591430008,900314.028343627,2.0584474031616378e-06,7.430682951892573e-07,-1.6506964641857588e-06,False,None
1235,0.0,0.0,0.0,1.38329872158902e-06,-3.070751437502946e-07,4.175914590513747e-07,-6757407.419960227,-882147.096923195,912017.2190928005,2.0608149559758586e-06,7.442725899759369e-07,-1.6537888747896126e-06,False,None
1236,0.0,0.0,0.0,1.3316753943140326e-06,-2.8669874879831395e-07,4.0249472348961266e-07,-6759028.674717838,-884418.7727426323,927177.0161872201,2.0631818417106413e-06,7.45477848850115e-07,-1.6568843706616075e-06,False,None
1237,0.0,0.0,0.0,1.3136610638059888e-06,-2.7664411129917236e-07,3.9868031519298497e-07,-6758091.218346133,-892503.8435276848,936847.8153581088,2.0655480508564274e-06,7.466840758631725e-07,-1.6599829500726189e-06,False,None
1238,0.0,0.0,0.0,1.332532127167712e-06,-2.865623937035134e-07,4.0629511025619266e-07,-6756940.838344924,-896261.0835251902,929726.1547899225,2.067913576545372e-06,7.478912712178479e-07,-1.6630846121422703e-06,False,None
1239,0.0,0.0,0.0,1.3955148512301969e-06,-2.896165740649595e-07,4.220934419041383e-07,-6752151.321071111,-882386.6424708065,945259.9381335777,2.0702784219285483e-06,7.490994404888546e-07,-1.6661893564820765e-06,False,None
1240,0.0,0.0,0.0,1.3784355991465308e-06,-2.7481367812959187e-07,4.161824568498471e-07,-6751364.195978887,-881000.2920030773,962317.1758878123,2.0726425787479605e-06,7.503085869270214e-07,-1.6692971816029154e-06,False,None
1241,0.0,0.0,0.0,1.3344151903049517e-06,-2.605014302349014e-07,4.0098645204801696e-07,-6754355.755731353,-876236.3219507539,969924.4571301054,2.0750060368294387e-06,7.515187120924834e-07,-1.6724080859957618e-06,False,None
1242,0.0,0.0,0.0,1.3712563824655872e-06,-2.654646382018792e-07,4.141177586028072e-07,-6750026.538840043,-886033.2760616723,971887.8183769281,2.077368792836393e-06,7.52729812783669e-07,-1.675522069685239e-06,False,None
1243,0.0,0.0,0.0,1.2510459350919571e-06,-2.4409594958215e-07,3.7627004970110303e-07,-6760470.797455501,-880420.9923811338,969815.129072541,2.0797308442064302e-06,7.539418859069999e-07,-1.6786391327770102e-06,False,None
1244,0.0,0.0,0.0,1.3182605722123093e-06,-2.454905289028999e-07,3.989265975977017e-07,-6751136.907191632,-891680.5565963616,987787.1878786939,2.0820921939410073e-06,7.551549313478324e-07,-1.6817592756726408e-06,False,None
1245,0.0,0.0,0.0,1.2473305277889877e-06,-2.373958428799098e-07,3.7603441906348136e-07,-6758760.976824707,-885790.9554286565,979552.3094265822,2.084452828890929e-06,7.563689506397015e-07,-1.684882496455359e-06,False,None
1246,0.0,0.0,0.0,1.4376251870920505e-06,-2.553240915719183e-07,4.3427287080700685e-07,-6740385.283951614,-887708.4751647661,1005745.9244063951,2.0868127555956364e-06,7.575839421824382e-07,-1.6880087962001553e-06,False,None
1247,0.0,0.0,0.0,1.3508186401940816e-06,-2.450135048943782e-07,4.099103299612488e-07,-6746576.190943464,-895579.5322201191,998738.7071679105,2.0891719558687143e-06,7.587999119362693e-07,-1.6911381716829428e-06,False,None
1248,0.0,0.0,0.0,1.2193756327568502e-06,-2.0547737021561e-07,3.656072757638853e-07,-6755323.208835474,-884866.7200643598,1023269.7582361947,2.0915304335489836e-06,7.600168595944226e-07,-1.6942706234556737e-06,False,None
1249,0.0,0.0,0.0,1.3332684314999419e-06,-2.2568831103586146e-07,4.028298674879603e-07,-6744907.586227332,-895378.484777416,1021296.2875614184,2.093888177130586e-06,7.612347764619684e-07,-1.6974061512089798e-06,False,None
1250,0.0,0.0,0.0,1.241550619171067e-06,-2.1172715931319043e-07,3.7418085571520207e-07,-6752974.392082519,-891511.5232512631,1019899.4985321042,2.0962451852024322e-06,7.624536644686712e-07,-1.700544754482704e-06,False,None
