,Sun,Magnetometer,Earth,Angular momentum of wheels,Angular velocity of satellite,Sun in view,Current fault,Current fault numeric,Current fault binary
38,[-0.70742754  0.34005128  0.61960376],[-0.82981613 -0.38578686 -0.40320428],[ 1.55019619e-10 -3.61965001e-70 -1.00000000e+00],[ 9.76412798e-69  3.54676230e-09 -1.10896914e-79],[ 6.19734447e-071 -1.57400798e-032 -2.22114759e-100],True,General_sensor_high_noise,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1
39,[-0.70674874  0.3400487   0.62037072],[-0.83101211 -0.38417959 -0.40227468],[ 1.59099017e-10 -1.65072450e-17 -1.00000000e+00],[ 1.14989579e-68  3.73343400e-09 -1.36599630e-79],[ 7.05725934e-071 -1.65685049e-032 -2.79589072e-100],True,General_sensor_high_noise,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1
40,[-0.70605828  0.34005276  0.62115983],[-0.83218708 -0.38279684 -0.40116235],[ 1.63178547e-10 -1.65072457e-17 -1.00000000e+00],[ 1.34867581e-68  3.92489215e-09 -1.67370035e-79],[ 8.01007359e-071 -1.74181718e-032 -3.49918452e-100],True,General_sensor_high_noise,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1
41,[-0.70537532  0.34004938  0.62193921],[-0.83347171 -0.38110556 -0.40010431],[ 1.67257944e-10 -5.74611775e-70 -1.00000000e+00],[ 1.57568435e-68  4.12113676e-09 -2.04041405e-79],[ 9.06311813e-071 -1.82890803e-032 -4.35551197e-100],True,General_sensor_high_noise,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1
42,[-0.70469141  0.34005261  0.62271534],[-0.8348011  -0.37942664 -0.39892675],[ 1.71337474e-10 -6.65242957e-70 -1.00000000e+00],[ 1.83411034e-68  4.32216782e-09 -2.47558186e-79],[ 1.02240997e-070 -1.91812304e-032 -5.39324826e-100],True,General_sensor_high_noise,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1
43,[-0.70399724  0.34005321  0.62348994],[-0.83594086 -0.37801326 -0.39788046],[ 1.75416872e-10 -7.67483954e-70 -1.00000000e+00],[ 2.12741606e-68  4.52798533e-09 -2.98987558e-79],[ 1.15011104e-070 -2.00946223e-032 -6.64516332e-100],True,General_sensor_high_noise,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1
44,[-0.70331682  0.34005399  0.62427027],[-0.83714559 -0.37654296 -0.39674004],[ 1.79496467e-10 -3.30144972e-17 -1.00000000e+00],[ 2.45935357e-68  4.73858930e-09 -3.59531871e-79],[ 1.29026368e-070 -2.10292557e-032 -8.14897485e-100],True,General_sensor_high_noise,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1
45,[-0.70263088  0.34005038  0.62504414],[-0.83835108 -0.37492882 -0.39572193],[ 1.83575865e-10 -1.65072493e-17 -1.00000000e+00],[ 2.83398181e-68  4.95397972e-09 -4.30542013e-79],[ 1.44375698e-070 -2.19851308e-032 -9.94795583e-100],True,General_sensor_high_noise,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1
46,[-0.70192176  0.3400555   0.62581527],[-0.83964636 -0.37306389 -0.39473703],[ 1.87655395e-10 -1.15589712e-69 -1.00000000e+00],[ 3.25568431e-68  5.17415660e-09 -5.13531737e-79],[ 1.61152134e-70 -2.29622476e-32 -1.20916001e-99],True,General_sensor_high_noise,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1
47,[-0.70125216  0.34005328  0.62659   ],[-0.84078201 -0.37164557 -0.39365616],[ 1.91734792e-10 -1.31704926e-69 -1.00000000e+00],[ 3.72918752e-68  5.39911993e-09 -6.10193001e-79],[ 1.79452947e-70 -2.39606061e-32 -1.46363507e-99],True,General_sensor_high_noise,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1
48,[-0.70056187  0.34005284  0.62736706],[-0.84193451 -0.36991862 -0.39281866],[ 1.95814322e-10 -1.65072516e-17 -1.00000000e+00],[ 4.25957977e-68  5.62886972e-09 -7.22412374e-79],[ 1.99379731e-70 -2.49802062e-32 -1.76463938e-99],True,General_sensor_high_noise,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1
49,[-0.6998377   0.34006109  0.62812907],[-0.84324279 -0.36840755 -0.39143003],[ 1.99893720e-10 -1.69588194e-69 -1.00000000e+00],[ 4.85233085e-68  5.86340595e-09 -8.52288543e-79],[ 2.21038493e-70 -2.60210479e-32 -2.11945253e-99],True,General_sensor_high_noise,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1
50,[-0.69915582  0.34006041  0.62891463],[-0.84444186 -0.3665073  -0.39062815],[ 2.03973183e-10  3.30145063e-17 -1.00000000e+00],[ 5.51331234e-68  6.10272865e-09 -1.00215098e-78],[ 2.44539754e-70 -2.70831313e-32 -2.53630917e-99],True,General_sensor_high_noise,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1
51,[-0.69846352  0.34005312  0.62968452],[-0.84561449 -0.36507408 -0.38943169],[ 2.08052779e-10 -2.16146018e-69 -1.00000000e+00],[ 6.24881848e-68  6.34683779e-09 -1.17457980e-78],[ 2.69998637e-70 -2.81664563e-32 -3.02450125e-99],True,General_sensor_high_noise,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1
52,[-0.69777679  0.3400559   0.63045879],[-0.8468394  -0.36339814 -0.38833596],[ 2.12132045e-10 -1.65072547e-17 -1.00000000e+00],[ 7.06558785e-68  6.59573339e-09 -1.37242691e-78],[ 2.97534965e-70 -2.92710230e-32 -3.59448877e-99],True,General_sensor_high_noise,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1
53,[-0.69708461  0.34005813  0.63121972],[-0.84809814 -0.36162437 -0.38724328],[ 2.16211574e-10 -3.30145110e-17 -1.00000000e+00],[ 7.97082559e-68  6.84941545e-09 -1.59883843e-78],[ 3.27273352e-70 -3.03968313e-32 -4.25801969e-99],True,General_sensor_high_noise,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1
54,[-0.69638841  0.34005645  0.63199498],[-0.84912888 -0.36017996 -0.38632958],[ 2.20291038e-10  1.65072563e-17 -1.00000000e+00],[ 8.97222645e-68  7.10788395e-09 -1.85727847e-78],[ 3.59343297e-70 -3.15438813e-32 -5.02825941e-99],True,General_sensor_high_noise,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1
